Generacion,Mejor individuo,Mejor Fitness
155,[0.02844179 0.13025946 0.39675189 0.13245715 0.25230653 0.06821677],-0.6527912698811551
156,[0.04518312 0.12240968 0.39958145 0.1251619  0.2408282  0.06898742],-0.6536252773638699
157,[0.04518312 0.12240968 0.39958145 0.1251619  0.2408282  0.06898742],-0.6536252773638699
158,[0.01350703 0.12998228 0.39846081 0.13220667 0.25187583 0.06884449],-0.6557499309514749
159,[0.01350703 0.12998228 0.39846081 0.13220667 0.25187583 0.06884449],-0.6557499309514749
160,[0.01350703 0.12998228 0.39846081 0.13220667 0.25187583 0.06884449],-0.6557499309514749
161,[0.01350703 0.12998228 0.39846081 0.13220667 0.25187583 0.06884449],-0.6557499309514749
162,[0.01350703 0.12998228 0.39846081 0.13220667 0.25187583 0.06884449],-0.6557499309514749
163,[0.01350703 0.12998228 0.39846081 0.13220667 0.25187583 0.06884449],-0.6557499309514749
164,[0.01350703 0.12998228 0.39846081 0.13220667 0.25187583 0.06884449],-0.6557499309514749
165,[0.01350703 0.12998228 0.39846081 0.13220667 0.25187583 0.06884449],-0.6557499309514749
166,[0.01350703 0.12998228 0.39846081 0.13220667 0.25187583 0.06884449],-0.6557499309514749
167,[0.01350703 0.12998228 0.39846081 0.13220667 0.25187583 0.06884449],-0.6557499309514749
168,[0.01350703 0.12998228 0.39846081 0.13220667 0.25187583 0.06884449],-0.6557499309514749
169,[0.01350703 0.12998228 0.39846081 0.13220667 0.25187583 0.06884449],-0.6557499309514749
170,[0.01350703 0.12998228 0.39846081 0.13220667 0.25187583 0.06884449],-0.6557499309514749
171,[0.01350703 0.12998228 0.39846081 0.13220667 0.25187583 0.06884449],-0.6557499309514749
172,[0.01350703 0.13023106 0.39846081 0.13220667 0.25187583 0.06884449],-0.6561031263538005
173,[0.01350703 0.13023106 0.39846081 0.13220667 0.25187583 0.06884449],-0.6561031263538005
174,[0.01350703 0.13023106 0.39846081 0.13220667 0.25187583 0.06884449],-0.6561031263538005
175,[0.01350703 0.13023106 0.39846081 0.13220667 0.25187583 0.06884449],-0.6561031263538005
176,[0.01350703 0.13023106 0.39846081 0.13220667 0.25187583 0.06884449],-0.6561031263538005
177,[0.01350703 0.13023106 0.39846081 0.13220667 0.25187583 0.06884449],-0.6561031263538005
178,[0.01350703 0.13023106 0.39846081 0.13220667 0.25187583 0.06884449],-0.6561031263538005
179,[0.01350703 0.13023106 0.39846081 0.13220667 0.25187583 0.06884449],-0.6561031263538005
180,[0.01350703 0.13023106 0.39846081 0.13220667 0.25187583 0.06884449],-0.6561031263538005
181,[0.01350703 0.13023106 0.39846081 0.13220667 0.25187583 0.06884449],-0.6561031263538005
182,[0.01350703 0.13023106 0.39846081 0.13220667 0.25187583 0.06884449],-0.6561031263538005
183,[0.01350703 0.13023106 0.39846081 0.13220667 0.25187583 0.06884449],-0.6561031263538005
184,[0.01350703 0.13023106 0.39846081 0.13220667 0.25187583 0.06884449],-0.6561031263538005
185,[0.01350703 0.13023106 0.39846081 0.13220667 0.25187583 0.06884449],-0.6561031263538005
186,[0.01350703 0.13023106 0.39846081 0.13220667 0.25187583 0.06884449],-0.6561031263538005
187,[0.01350703 0.13023106 0.39846081 0.13220667 0.25187583 0.06884449],-0.6561031263538005
188,[0.01350703 0.13023106 0.39846081 0.13220667 0.25187583 0.06884449],-0.6561031263538005
189,[0.01350703 0.13023106 0.39846081 0.13220667 0.25187583 0.06884449],-0.6561031263538005
190,[0.01350703 0.13023106 0.39846081 0.13220667 0.25187583 0.06884449],-0.6561031263538005
191,[0.0140999  0.17583524 0.39859725 0.11501095 0.23333194 0.06855608],-0.6577230505808258
192,[0.04875893 0.13226415 0.39950522 0.13413245 0.25472932 0.03034131],-0.6581448436740075
193,[0.04875893 0.13226415 0.39950522 0.13413245 0.25472932 0.03034131],-0.6581448436740075
194,[0.04619902 0.11211282 0.39952693 0.1152569  0.30131692 0.02386519],-0.6589513016735148
195,[0.04619902 0.11211282 0.39952693 0.1152569  0.30131692 0.02386519],-0.6589513016735148
196,[0.04619902 0.11211282 0.39952693 0.1152569  0.30131692 0.02386519],-0.6589513016735148
197,[0.04619902 0.11211282 0.39952693 0.1152569  0.30131692 0.02386519],-0.6589513016735148
198,[0.04619902 0.11211282 0.39952693 0.1152569  0.30131692 0.02386519],-0.6589513016735148
199,[0.04619902 0.11211282 0.39952693 0.1152569  0.30131692 0.02386519],-0.6589513016735148
200,[0.04619902 0.11211282 0.39962159 0.1152569  0.30131692 0.02386519],-0.6590776760974535
201,[0.04619902 0.11211282 0.39962159 0.1152569  0.30131692 0.02386519],-0.6590776760974535
202,[0.04619902 0.11211282 0.39962159 0.1152569  0.30131692 0.02386519],-0.6590776760974535
203,[0.04619902 0.11211282 0.39962159 0.1152569  0.30131692 0.02386519],-0.6590776760974535
204,[0.04619902 0.11211282 0.39962159 0.1152569  0.30131692 0.02386519],-0.6590776760974535
205,[0.04619902 0.11211282 0.39962159 0.1152569  0.30131692 0.02418016],-0.6592647685729611
206,[0.04619902 0.11211282 0.39962159 0.1152569  0.30131692 0.02418016],-0.6592647685729611
207,[0.04619902 0.11211282 0.39962159 0.1152569  0.30131692 0.02418016],-0.6592647685729611
208,[0.04619902 0.11211282 0.39962159 0.1152569  0.30131692 0.02418016],-0.6592647685729611
209,[0.04619902 0.11211282 0.39962159 0.1152569  0.30131692 0.02418016],-0.6592647685729611
210,[0.04619902 0.11211282 0.39962159 0.1152569  0.30131692 0.02418016],-0.6592647685729611
211,[0.04619902 0.11211282 0.39962159 0.1152569  0.30131692 0.02418016],-0.6592647685729611
212,[0.04619902 0.11211282 0.39962159 0.1152569  0.30131692 0.02418016],-0.6592647685729611
213,[0.04599654 0.12662419 0.39962375 0.12922766 0.28939404 0.00482179],-0.6593274829599044
214,[0.04599654 0.12662419 0.39962375 0.12922766 0.28939404 0.00482179],-0.6593274829599044
215,[0.04599654 0.12662419 0.39962375 0.12922766 0.28939404 0.00482179],-0.6593274829599044
216,[0.04599654 0.12662419 0.39962375 0.12922766 0.28939404 0.00482179],-0.6593274829599044
217,[0.04599654 0.12662419 0.39962375 0.12922766 0.28939404 0.00482179],-0.6593274829599044
218,[0.04599654 0.12662419 0.39962375 0.12922766 0.28939404 0.00482179],-0.6593274829599044
219,[0.04599654 0.12662419 0.39962375 0.12922766 0.28939404 0.00642265],-0.660932060411762
220,[0.04599654 0.12662419 0.39962375 0.12922766 0.28939404 0.00642265],-0.660932060411762
221,[0.0015552  0.12597833 0.39979748 0.12903867 0.28428222 0.05671114],-0.6646265604782564
222,[0.0015552  0.12597833 0.39984349 0.12903867 0.28428222 0.05671114],-0.6646966266422607
223,[0.0015552  0.12597833 0.39984349 0.12903867 0.28428222 0.05671114],-0.6646966266422607
224,[0.0015552  0.12597833 0.39984349 0.12903867 0.28428222 0.05671114],-0.6646966266422607
225,[0.0015552  0.12597833 0.39984349 0.12903867 0.28428222 0.05671114],-0.6646966266422607
226,[0.0015552  0.12597833 0.39984349 0.12903867 0.28428222 0.05671114],-0.6646966266422607
227,[0.0015552  0.12597833 0.39984349 0.12903867 0.28428222 0.05671114],-0.6646966266422607
228,[0.0015552  0.12597833 0.39984349 0.12903867 0.28428222 0.05671114],-0.6646966266422607
229,[0.0015552  0.12597833 0.39984349 0.12903867 0.28428222 0.05671114],-0.6646966266422607
230,[0.0015552  0.12597833 0.39984349 0.12903867 0.28428222 0.05671114],-0.6646966266422607
231,[0.0015552  0.12597833 0.39984349 0.12903867 0.28428222 0.05671114],-0.6646966266422607
232,[0.00269303 0.12497243 0.39980996 0.18304405 0.23912935 0.05367317],-0.6693569035023444
233,[0.00269303 0.12497243 0.39980996 0.18304405 0.23912935 0.05367317],-0.6693569035023444
234,[0.00269303 0.12497243 0.39980996 0.18304405 0.23912935 0.05367317],-0.6693569035023444
235,[0.00269303 0.12497243 0.39980996 0.18304405 0.23912935 0.05367317],-0.6693569035023444
236,[0.00269303 0.12497243 0.39980996 0.18304405 0.23912935 0.05367317],-0.6693569035023444
237,[0.00269303 0.12497243 0.39980996 0.18304405 0.23912935 0.05367317],-0.6693569035023444
238,[0.00269303 0.12497243 0.39980996 0.18304405 0.23912935 0.05367317],-0.6693569035023444
